[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3974537230.42971,12/10/2025,2:07 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1133,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD030,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC199,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI-315,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3,SAMPLE_MATERIAL
INFO,4x4 mm,SAMPLE_COMMENT
INFO,.008384,SAMPLE_MASS
INFO,.0016,SAMPLE_VOLUME
INFO,159.687,SAMPLE_MOLECULAR_WEIGHT
INFO,4x4,SAMPLE_SIZE
INFO,square,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,88.97,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3974539379.08913,292.988800048828,0.205235630273819,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.975372314453,293.001129150391,0.205235630273819,0.205235630273819,,,7.84850788116455,,1,0,0,0,0,30.7917900085449,1,1,1,292.976928710937,0,2084574464,292.990521240234,,,-3.83509982325515E-6,2.17173482174062E-7,-3.95482853392222E-6,2.15843582180976E-7,0.514539003372192,0.579099416732788,39.2818260192871,0.000390756351407617,30,4,200,-0.0971029698848724,-0.374175310134888,0.48768275976181,1,,,,,,,,,,,,,,,,
,3974539401.06042,292.986434936523,166.687530517578,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.973754882812,292.998016357422,166.687530517578,166.687530517578,,,7.84927892684937,,1,0,0,0,0,31.2805480957031,1,1,1,292.974853515625,0,2084573280,292.987643432617,,,1.74510810494885E-5,1.28712729010772E-6,2.74974117675827E-5,1.47310244377521E-6,0.258750200271606,0.617900371551514,35.3624420166016,2.78265619277954,30,4,200,0.00474950298666954,-0.700125634670258,0.528290629386902,1,,,,,,,,,,,,,,,,
,3974539423.31633,292.990570068359,333.387145996094,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.976470947266,293.003082275391,333.387145996094,333.387145996094,,,7.85074090957642,,1,0,0,0,0,31.2805480957031,1,1,1,292.978088378906,0,2084574368,292.993026733398,,,3.04424884841828E-5,2.12146315065732E-6,4.28295525029817E-5,2.3652254415352E-6,0.296221226453781,0.556917548179626,35.6527824401855,0.33792769908905,30,4,200,0.00761492131277919,-0.623001098632813,0.679746806621551,1,,,,,,,,,,,,,,,,
,3974539445.64234,292.985717773438,499.929809570313,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.971710205078,292.998626708984,499.929809570313,499.929809570313,,,7.85076951980591,,1,0,0,0,0,30.7917900085449,1,1,1,292.972808837891,0,2084574368,292.987899780273,,,4.388963283128E-5,2.90105959570575E-6,5.67302926761792E-5,3.16544283233065E-6,0.337417215108871,0.538728773593903,35.925609588623,0,30,4,200,0.0163567829877138,-0.402227908372879,0.0475009754300118,1,,,,,,,,,,,,,,,,
,3974539467.88047,292.984008789063,666.774291992188,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.970031738281,292.996520996094,666.774291992188,666.774291992188,,,7.851881980896,,1,0,0,0,0,31.2805480957031,1,1,1,292.971496582031,0,2084574656,292.986584472656,,,5.5224472445246E-5,3.60982969747708E-6,6.86036015819535E-5,3.89551278097144E-6,0.34702730178833,0.510263860225678,36.0813255310059,0.0118683893233538,30,4,200,0.0195550974458456,-0.824510514736175,0.56134158372879,1,,,,,,,,,,,,,,,,
,3974539489.91431,292.983062744141,833.244506835938,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.970062255859,292.994018554687,833.244506835938,833.244506835938,,,7.85231018066406,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.972106933594,0,2084574528,292.983642578125,,,6.74686583600699E-5,4.32626614864696E-6,8.09577317417123E-5,4.62168834786153E-6,0.364466845989227,0.502068758010864,36.236141204834,,30,4,200,0.0232276376336813,-0.587133407592773,0.853749692440033,1,,,,,,,,,,,,,,,,
,3974539511.6903,292.983245849609,999.726806640625,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.968658447266,292.997528076172,999.726806640625,999.726806640625,,,7.85398149490356,,1,0,0,0,0,31.2805480957031,1,1,1,292.968963623047,0,2084574368,292.988169352214,,,7.80791022705967E-5,5.00590445141485E-6,9.18271435894582E-5,5.31470508716663E-6,0.364603817462921,0.482007592916489,36.3379135131836,3.28319191932678,30,4,200,0.023830795660615,-0.364328533411026,1.13869369029999,1,,,,,,,,,,,,,,,,
,3974539533.45683,292.984451293945,1166.46264648438,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.969970703125,292.997955322266,1166.46264648438,1166.46264648438,,,7.85439157485962,,1,0,0,0,0,30.7917900085449,1,1,1,292.970977783203,0,2084574432,292.987280273438,,,8.70686929301624E-5,5.64670512289562E-6,0.000101637136328388,5.97998426366276E-6,0.354042232036591,0.459646999835968,36.3801689147949,0,30,4,200,0.0163818188011646,-0.556263983249664,0.146606892347336,1,,,,,,,,,,,,,,,,
,3974539555.36874,292.986099243164,1333.13806152344,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.972808837891,292.999237060547,1333.13806152344,1333.13806152344,,,7.85547018051148,,1,0,0,0,0,30.7917900085449,1,1,1,292.973999023438,0,2084574304,292.990692138672,,,9.21698051903462E-5,6.09435147730836E-6,0.000106852252676898,6.43824457454764E-6,0.337136268615723,0.430005609989166,36.4232711791992,3.1950364112854,30,4,200,-0.00398559542372823,-0.681559145450592,1.0884382724762,1,,,,,,,,,,,,,,,,
,3974539577.16091,292.987579345703,1499.88598632813,,,6,,,,38.1198682085126,,,1,,,,,,,,,,,,,,,,,,,,,,292.974945068359,293.000183105469,1499.88598632813,1499.88598632813,,,7.85595178604126,,1,0,0,0,0,31.2805480957031,1,1,1,292.976776123047,0,2084574624,292.989886474609,,,9.73519492112079E-5,6.64853094501226E-6,0.000113265634347905,7.02979028929518E-6,0.311164796352386,0.396911770105362,36.408561706543,3.09139204025269,30,4,200,-0.0203814208507538,-0.856846213340759,1.07663464546204,1,,,,,,,,,,,,,,,,
