[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3975060816.40338,12/16/2025,3:33 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1133,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD030,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC199,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI-315,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3,SAMPLE_MATERIAL
INFO,4x4 mm,SAMPLE_COMMENT
INFO,.008384,SAMPLE_MASS
INFO,.0016,SAMPLE_VOLUME
INFO,159.687,SAMPLE_MOLECULAR_WEIGHT
INFO,4x4,SAMPLE_SIZE
INFO,square,SAMPLE_SHAPE
INFO,Not Specified,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,45.34,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3975061299.57578,292.913009643555,0.325962454080582,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.902709960937,292.923919677734,0.325962454080582,0.325962454080582,,,7.50767374038696,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.923309326172,0,2084574624,292.918216281467,,,-5.47782745232219E-8,1.00543745358726E-8,-5.85491492815348E-8,1.0156770189448E-8,0.0438560731709003,0.0492320917546749,55.3592491149902,0.272136718034744,30,4,200,-0.00707183452323079,-0.299700766801834,-0.237875729799271,1,,,,,,,,,,,,,,,,
,3975061346.31223,292.980972290039,2499.64916992187,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.978607177734,292.990203857422,2499.64916992187,2499.64916992187,,,7.50711584091187,,1,0,0,0,0.0139617919921875,31.2805480957031,1,1,1,292.978607177734,0,2084573824,292.985266113281,,,-6.82163794035485E-5,9.33252247704915E-6,-0.000123748414059503,9.74387685280482E-6,0.0804457068443298,0.269359916448593,59.6155433654785,1,30,4,200,0.856153011322022,-0.291011899709702,4.76729536056519,1,,,,,,,,,,,,,,,,
,3975061392.31226,292.987228393555,4999.99853515625,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.984924316406,292.994323730469,4999.99853515625,4999.99853515625,,,7.5101580619812,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.984924316406,0,2084574208,292.990158081055,,,-4.71777470824198E-5,6.60910738099109E-6,-8.82311321239008E-5,6.89951290177359E-6,0.0765658766031265,0.273804545402527,59.7258262634277,0,30,4,200,0.716683149337769,-0.227644011378288,3.80414319038391,1,,,,,,,,,,,,,,,,
,3975061438.2927,292.992721557617,7500.22705078125,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.990966796875,292.999328613281,7500.22705078125,7500.22705078125,,,7.5145149230957,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.990264892578,0,2084574176,292.996131049262,,,-3.59781799701824E-5,5.0417286085015E-6,-6.79975046304948E-5,5.26372107412913E-6,0.0765164494514465,0.280491501092911,59.7302398681641,1.81197988986969,30,4,200,0.554162979125977,-0.359524995088577,2.65310883522034,1,,,,,,,,,,,,,,,,
,3975061484.27518,292.996078491211,9999.8037109375,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.994262695313,293.001037597656,9999.8037109375,9999.8037109375,,,7.5188364982605,,1,0,0,0,0,30.7917900085449,1,1,1,292.994293212891,0,2084574752,292.99807434082,,,-3.06201632798562E-5,4.25224374614719E-6,-5.73664062586375E-5,4.44196013626563E-6,0.0779727771878242,0.280310809612274,59.7212791442871,0.193076103925705,30,4,200,0.447023630142212,0.247490897774696,2.46751546859741,1,,,,,,,,,,,,,,,,
,3975061530.22486,292.999267578125,12499.8515625,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.997131347656,293.006530761719,12499.8515625,12499.8515625,,,7.5237603187561,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.997131347656,0,2084574240,293.002450561523,,,-2.70639358010061E-5,3.76832144128185E-6,-5.16195466245765E-5,3.93423519645167E-6,0.0775449797511101,0.291158765554428,59.7263488769531,0.000203233605134301,30,4,200,0.37416610121727,0.17143377661705,2.18201160430908,1,,,,,,,,,,,,,,,,
,3975061576.19617,293.003219604492,14999.9951171875,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,293.002044677734,293.009033203125,14999.9951171875,14999.9951171875,,,7.52806711196899,,1,0,0,0,0,30.7917900085449,1,1,1,293.001403808594,0,2084574464,293.00629679362,,,-2.4727743943955E-5,3.42017992440872E-6,-4.74474219410542E-5,3.57131500649173E-6,0.0786292180418968,0.300103008747101,59.7161560058594,6.28334856033325,30,4,200,0.291089087724686,-0.3083436191082,1.7395247220993,1,,,,,,,,,,,,,,,,
,3975061622.87537,293.007217407227,17499.861328125,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,293.005035400391,293.012969970703,17499.861328125,17499.861328125,,,7.53199672698975,,1,0,0,0,0.0139617919921875,28.8367557525635,1,1,1,293.005035400391,0,2084574560,293.009811401367,,,-2.42969777298458E-5,3.30852750060731E-6,-4.57372870754448E-5,3.45656191471955E-6,0.0812338590621948,0.297169983386993,59.6723937988281,0,30,4,200,0.243988841772079,0.133531481027603,1.40974748134613,1,,,,,,,,,,,,,,,,
,3975061668.91981,293.00407409668,19999.921875,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,293.001251220703,293.010437011719,19999.921875,19999.921875,,,7.53569459915161,,1,0,0,0,0.0139617919921875,31.2805480957031,1,1,1,293.001251220703,0,2084574464,293.006640625,,,-2.04770950313853E-5,2.83668186074487E-6,-4.00547930636351E-5,2.96188880040294E-6,0.0783737376332283,0.313386231660843,59.7397346496582,7.72914838790894,30,4,200,0.194102704524994,-0.475569427013397,0.544520795345306,1,,,,,,,,,,,,,,,,
,3975061714.87495,292.991226196289,22500.2578125,,,6,,,,54.4191360473633,,,1,,,,,,,,,,,,,,,,,,,,,,292.983673095703,293.002624511719,22500.2578125,22500.2578125,,,7.5393214225769,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,292.983673095703,0,2084573760,292.996258544922,,,-1.85903455052544E-5,2.63333793708466E-6,-3.69161895744974E-5,2.74993525971505E-6,0.0748194083571434,0.307793498039246,59.854663848877,0.117412954568863,30,4,200,0.158432394266129,0.0256410446017981,1.04304528236389,1,,,,,,,,,,,,,,,,
