[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3979184928.80977,02/02/2026,9:08 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1133,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD030,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC199,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI-315,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Quartz,SAMPLE_MATERIAL
INFO,quartz_rod_blank,SAMPLE_COMMENT
INFO,1000,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,56.61,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3979186633.34779,297.990463256836,0.350107818841934,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.988098144531,297.994964599609,0.350107818841934,0.350107818841934,,,7.41273546218872,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.989593505859,0,4232057984,297.991222805447,,,1.20878783125153E-8,9.00968788186506E-9,1.63676241012792E-7,9.46276641302367E-9,0.0014250926906243,0.274320155382156,62.8974571228027,0.00205728784203529,30,4,200,-0.0140191102400422,-0.202637135982513,0.0480278432369232,2,,,,,,,,,,,,,,,,
,3979186674.88962,297.990966796875,833.208312988281,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.989440917969,297.9951171875,833.208312988281,833.208312988281,,,7.4151291847229,,1,0,0,0,0.0139617919921875,30.3030319213867,1,1,1,297.989685058594,0,4232058400,297.992335001628,,,-6.60203083962972E-6,5.65600065561523E-7,-9.09905636104118E-6,5.71639818210277E-7,0.114328138530254,0.225981384515762,60.1984596252441,0,30,4,200,0.0730569064617157,-0.443801581859589,0.635304749011993,2,,,,,,,,,,,,,,,,
,3979186776.98096,297.996536254883,1666.59765625,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.995727539063,298.000885009766,1666.59765625,1666.59765625,,,7.42149209976196,,1,0,0,0,0,30.3030319213867,1,1,1,297.995788574219,0,4232058272,297.998058742947,,,-4.13337920156394E-7,4.67743598268765E-8,-8.968128106288E-7,4.77096916009878E-8,0.0638162195682526,0.335981249809265,61.8526382446289,,30,4,200,0.020738972350955,-0.559559464454651,0.523034751415253,2,,,,,,,,,,,,,,,,
,3979186819.36821,297.997161865234,2499.74560546875,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.996185302734,298.000610351562,2499.74560546875,2499.74560546875,,,7.42372369766235,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.996704101562,0,4232058272,297.998143513997,,,-5.25034982455948E-6,4.73143010342552E-7,-7.51104147591181E-6,4.77984884422969E-7,0.102692045271397,0.219429969787598,60.4298439025879,,30,4,200,0.0732914805412292,-0.0939332768321037,0.955826282501221,2,,,,,,,,,,,,,,,,
,3979186922.23796,297.997497558594,3333.13500976562,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.995391845703,298.002624511719,3333.13500976562,3333.13500976562,,,7.42909002304077,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.995086669922,0,4232057920,298.000018649631,,,-1.3739833555547E-7,3.65849768943561E-8,-1.04643718307948E-6,7.57789316569149E-8,0.0112215783447027,0.16437192261219,67.6954040527344,1.4115252494812,30,4,200,0.0140026640146971,-0.118649616837502,0.12827479839325,2,,,,,,,,,,,,,,,,
,3979186963.86459,297.997375488281,4166.7177734375,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.995941162109,298.002838134766,4166.7177734375,4166.7177734375,,,7.43195629119873,,1,0,0,0,0.0139617919921875,30.3030319213867,1,1,1,297.996063232422,0,4232057120,297.998942057292,,,-5.81323462015001E-6,5.4041873828455E-7,-8.29458819376338E-6,5.46144754420438E-7,0.0961676612496376,0.203112214803696,60.4353523254394,7.77401781082153,30,4,200,0.0749910697340965,-0.261146306991577,0.796561181545258,2,,,,,,,,,,,,,,,,
,3979187066.7378,298.000793457031,4999.92578125,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.998138427734,298.005096435547,4999.92578125,4999.92578125,,,7.43702220916748,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.999633789063,0,4232058016,298.001351250543,,,-3.31566300933346E-7,6.83359256438438E-8,-1.71895376193217E-6,9.00559115199407E-8,0.0188017170876265,0.349218428134918,65.4490051269531,8.09005641937256,30,4,200,0.0322523787617683,-0.570947647094727,-0.000731609819922596,2,,,,,,,,,,,,,,,,
,3979187108.40043,297.999816894531,5833.17041015625,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.996398925781,298.004486083984,5833.17041015625,5833.17041015625,,,7.43860912322998,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.998413085937,0,4232058208,298.000498453776,,,-9.11600664475822E-6,8.20579473567366E-7,-1.32483937277725E-5,8.29406426957994E-7,0.102936469018459,0.227805033326149,60.4991912841797,0.0832746103405953,30,4,200,0.133685082197189,-0.342008471488953,1.17493963241577,2,,,,,,,,,,,,,,,,
,3979187211.09316,297.999969482422,6666.4150390625,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.99853515625,298.005401611328,6666.4150390625,6666.4150390625,,,7.44336414337158,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.998748779297,0,4232058272,298.001892089844,,,-6.22285283584405E-7,9.64665655183104E-8,-2.01592762590912E-6,1.01077804785959E-7,0.0334819182753563,0.391224026679993,62.8345794677734,0.0807809010148048,30,4,200,0.0423423573374748,-0.136415466666222,0.602782011032104,2,,,,,,,,,,,,,,,,
,3979187252.85728,298.000183105469,7500.287109375,,,6,,,,56.5949998793006,,,1,,,,,,,,,,,,,,,,,,,,,,297.999328613281,298.005645751953,7500.287109375,7500.287109375,,,7.44510746002197,,1,0,0,0,0.0139617919921875,29.8142719268799,1,1,1,298.001037597656,0,4232058240,298.003189086914,,,-9.9585921813343E-6,8.96854577017285E-7,-1.49627409425601E-5,9.06708869442857E-7,0.102832093834877,0.245608046650887,60.6301536560059,0.0870387777686119,30,4,200,0.1607965528965,-0.556013643741608,0.803145229816437,2,,,,,,,,,,,,,,,,
