[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3979372187.62108,02/04/2026,1:09 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1133,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD030,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC199,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI-315,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe2O3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,.004716,SAMPLE_MASS
INFO,0.0009,SAMPLE_VOLUME
INFO,159.69,SAMPLE_MOLECULAR_WEIGHT
INFO,2x3 mm,SAMPLE_SIZE
INFO,rectangle,SAMPLE_SHAPE
INFO,Not Specified,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,69.57,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3979372757.50748,298.000869750977,0.205235630273819,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.997039794922,298.0087890625,0.205235630273819,0.205235630273819,,,7.31423854827881,,1,0,0,0,0.0140380859375,31.2805480957031,1,1,1,297.997039794922,0,4232058336,298.002992328845,,,1.45021300838024E-6,1.06416329870894E-7,1.76794361601261E-6,1.07847393619828E-7,0.121132530272007,0.181053757667542,35.7868995666504,5.9822154045105,30,4,200,-0.121708132326603,-1.07518947124481,-0.000716373382601887,2,,,,,,,,,,,,,,,,
,3979372799.79908,297.998870849609,833.0634765625,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.995727539063,298.005798339844,833.0634765625,833.0634765625,,,7.32265949249268,,1,0,0,0,0.0140380859375,29.8142719268799,1,1,1,297.995758056641,0,4232058080,298.000510767887,,,2.71756838972764E-6,5.29608804772653E-7,7.18469183691789E-6,5.93625907542642E-7,0.0162658486515284,0.0941936150193214,20.4383563995361,0,30,4,200,0.0585598945617676,-0.195157885551453,0.840389788150787,2,,,,,,,,,,,,,,,,
,3979372903.15535,298.000183105469,1666.4287109375,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.996063232422,298.006439208984,1666.4287109375,1666.4287109375,,,7.34131860733032,,1,0,0,0,0,30.7917900085449,1,1,1,297.997619628906,0,4232058048,298.000787353516,,,7.87531901900801E-6,2.84053974770794E-7,8.0949653460121E-6,2.84412074657591E-7,0.759138643741608,0.914904415607452,33.8427429199219,0,30,4,200,0.00319974985904992,-0.127097547054291,-0.0452039428055286,2,,,,,,,,,,,,,,,,
,3979372946.47009,297.999862670898,2499.7578125,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.996948242188,298.005828857422,2499.7578125,2499.7578125,,,7.3477087020874,,1,0,0,0,0,30.7917900085449,1,1,1,297.997131347656,0,4232058080,298.001440750925,,,6.29992485946041E-6,6.98809676342899E-7,6.49741801012694E-6,6.99680115903856E-7,0.0511063151061535,0.0543150044977665,32.0977249145508,0.0405480973422527,30,4,200,0.0586382858455181,-0.486303329467773,0.614297568798065,2,,,,,,,,,,,,,,,,
,3979373050.32953,297.999710083008,3332.96606445313,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.996856689453,298.006103515625,3332.96606445313,3332.96606445313,,,7.36090660095215,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.996795654297,0,4232058144,298.001064902858,,,1.04255353906015E-5,3.85611183247128E-7,1.08669455990522E-5,3.86352073906965E-7,0.677186369895935,0.825421810150146,34.0438766479492,,30,4,200,-0.0280969496816397,-0.219905823469162,0.294326037168503,2,,,,,,,,,,,,,,,,
,3979373092.82817,297.998992919922,4166.74169921875,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.996459960937,298.005157470703,4166.74169921875,4166.74169921875,,,7.36580944061279,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.996032714844,0,4232058144,298.000841642681,,,7.5892238258819E-6,8.74437870720407E-7,8.00258035013777E-6,8.76493554529718E-7,0.0472721047699451,0.0524547658860683,31.7769794464111,0,30,4,200,0.074672520160675,-0.168041154742241,0.842163860797882,2,,,,,,,,,,,,,,,,
,3979373195.99942,297.998825073242,5000.02294921875,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.994567871094,298.004241943359,5000.02294921875,5000.02294921875,,,7.37604331970215,,1,0,0,0,0.0148773193359375,30.7917900085449,1,1,1,297.996551513672,0,4232058112,297.999399285567,,,1.13752572250693E-5,4.11170610595464E-7,1.16876663308717E-5,4.1167454406145E-7,0.750937461853027,0.889424860477448,33.8312759399414,7.30852556228638,30,4,200,0.0158450864255428,-0.552467167377472,-0.260878175497055,2,,,,,,,,,,,,,,,,
,3979373238.66574,297.998489379883,5833.21875,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.995513916016,298.004608154297,5833.21875,5833.21875,,,7.37933921813965,,1,0,0,0,0.0147247314453125,30.7917900085449,1,1,1,297.99560546875,0,4232058240,298.000467400802,,,8.3590032920804E-6,8.61074674512693E-7,8.58565362770984E-6,8.62015904365758E-7,0.0595150478184223,0.0627539530396461,32.1515235900879,0,30,4,200,0.150770977139473,-0.322011142969131,0.918595671653748,2,,,,,,,,,,,,,,,,
,3979373341.91683,298.000030517578,6666.451171875,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.996551513672,298.005981445313,6666.451171875,6666.451171875,,,7.38774013519287,,1,0,0,0,0.0139617919921875,30.7917900085449,1,1,1,297.996704101562,0,4232058208,298.001257645456,,,1.20292517222531E-5,4.33835403092782E-7,1.23626110861911E-5,4.34378800154288E-7,0.759555995464325,0.914224326610565,33.8393859863281,4.24858522415161,30,4,200,0.0462344363331795,-0.377984195947647,0.685584783554077,2,,,,,,,,,,,,,,,,
,3979373384.46121,297.99967956543,7500.359375,,,6,,,,32.9836616516113,,,1,,,,,,,,,,,,,,,,,,,,,,297.997253417969,298.004760742188,7500.359375,7500.359375,,,7.39089918136597,,1,0,0,0,0.0140380859375,30.3030319213867,1,1,1,297.997375488281,0,4232058272,298.001463237562,,,8.57412574166291E-6,8.93934769714918E-7,8.8194590672028E-6,8.94965891924435E-7,0.0580551885068417,0.0613889396190643,32.1310157775879,1.11448980533169E-6,30,4,200,0.164131417870522,-0.408809781074524,0.99270236492157,2,,,,,,,,,,,,,,,,
