[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3978240095.66131,01/22/2026,10:41 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N2,MOTOR_HW_VERSION
INFO,MMC1133,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQD030,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC199,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI-315,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Pd,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,255,SAMPLE_MASS
INFO,21.2,SAMPLE_VOLUME
INFO,106.42,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,75.59,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3978241490.85063,297.997314453125,0.0603634156286716,,,6,,,,32.311710357666,,,1,,,,,,,,,,,,,,,,,,,,,,297.977813720703,298.008544921875,0.0603634156286716,0.0603634156286716,,,7.33391809463501,,1,0,0,0,0.0145721435546875,30.7917900085449,1,1,1,297.991424560547,0,4232057952,297.993256788987,,,-3.52070440596083E-5,1.26301303325405E-6,-3.52611060174061E-5,1.2630909877113E-6,0.816880643367767,0.824837267398834,32.1065635681152,0,30,8,200,-0.119543522596359,-0.989621639251709,0.14684584736824,2,,,,,,,,,,,,,,,,
,3978241681.87691,297.999496459961,1666.4287109375,,,6,,,,32.311710357666,,,10,,,,,,,,,,,,,,,,,,,,,,297.977142333984,298.011566162109,1666.4287109375,1666.4287109375,,,7.34146928787231,,1,0,0,0,0.0145721435546875,30.7917900085449,1,1,1,297.995574951172,0,4232058176,297.994953579373,,,0.00223472357692916,7.88279056400701E-5,0.00223472613789707,7.8827890399375E-5,0.980303883552551,0.980371952056885,32.3054809570313,INF,30,8,200,-0.00112350936979055,-0.98570716381073,0.089458703994751,2,,,,,,,,,,,,,,,,
,3978241744.36161,297.997802734375,2499.76977539062,,,6,,,,32.311710357666,,,10,,,,,,,,,,,,,,,,,,,,,,297.975067138672,298.012054443359,2499.76977539062,2499.76977539062,,,7.34265995025635,,1,0,0,0,0.0145721435546875,30.3030319213867,1,1,1,297.993377685547,0,4232058080,297.994701276507,,,0.00336376158103926,0.000118650581970062,0.00336377369108849,0.000118650557543134,0.981715559959412,0.981924831867218,32.3012161254883,INF,30,8,200,-0.000451073312433437,-1.45723843574524,0.149572595953941,2,,,,,,,,,,,,,,,,
,3978241868.29584,298.00373840332,3332.97802734375,,,6,,,,32.311710357666,,,10,,,,,,,,,,,,,,,,,,,,,,297.980621337891,298.017486572266,3332.97802734375,3332.97802734375,,,7.34745121002197,,1,0,0,0,0.0145721435546875,30.7917900085449,1,1,1,297.999359130859,0,4232058080,297.999477713449,,,0.00449671366262481,0.000158614900036451,0.00449671713416353,0.00015861485950791,0.981192767620087,0.981247484683991,32.3062553405762,0,30,8,200,-0.00365440617315471,-1.92808640003204,0.264456242322922,2,,,,,,,,,,,,,,,,
,3978241930.61063,297.999435424805,4166.74169921875,,,6,,,,32.311710357666,,,10,,,,,,,,,,,,,,,,,,,,,,297.977447509766,298.014617919922,4166.74169921875,4166.74169921875,,,7.34854793548584,,1,0,0,0,0.0145721435546875,30.3030319213867,1,1,1,297.994232177734,0,4232056832,297.997063337054,,,0.00561943878673109,0.000198212354963149,0.00561945762528557,0.000198212309754946,0.982598960399628,0.982805907726288,32.3015327453613,0,30,8,200,0.00256905402056873,-2.34078502655029,0.368043690919876,2,,,,,,,,,,,,,,,,
,3978242053.944,298.004119873047,4999.8896484375,,,6,,,,32.311710357666,,,10,,,,,,,,,,,,,,,,,,,,,,297.979583740234,298.017578125,4999.8896484375,4999.8896484375,,,7.35215282440186,,1,0,0,0,0.0145721435546875,30.7917900085449,1,1,1,297.999725341797,0,4232058080,297.999137660435,,,0.00674730541388909,0.000237998323438678,0.0067473114319403,0.000237998289713327,0.981835603713989,0.98189252614975,32.3062400817871,0.174676522612572,30,8,200,0.000914236239623278,-2.85467028617859,0.418257534503937,2,,,,,,,,,,,,,,,,
,3978242116.37605,297.999542236328,5833.06201171875,,,6,,,,32.311710357666,,,10,,,,,,,,,,,,,,,,,,,,,,297.975494384766,298.01318359375,5833.06201171875,5833.06201171875,,,7.35372972488403,,1,0,0,0,0.0145721435546875,30.3030319213867,1,1,1,297.994598388672,0,4232058304,297.995980398996,,,0.00786508074442741,0.000277421321253609,0.00786509790368913,0.000277421271291434,0.98272693157196,0.982864141464233,32.3034439086914,0,30,8,200,0.00760343438014388,-3.281085729599,0.492571026086807,2,,,,,,,,,,,,,,,,
,3978242239.40313,298.003997802734,6666.33056640625,,,6,,,,32.311710357666,,,10,,,,,,,,,,,,,,,,,,,,,,297.978363037109,298.017059326172,6666.33056640625,6666.33056640625,,,7.35708570480347,,1,0,0,0,0.0145721435546875,30.7917900085449,1,1,1,297.998779296875,0,4232058176,297.998667689732,,,0.00899136957265874,0.000317152641113753,0.00899137549833769,0.000317152602734412,0.981964111328125,0.982007384300232,32.306957244873,0,30,8,200,0.00194351281970739,-3.76187181472778,0.549126088619232,2,,,,,,,,,,,,,,,,
,3978242301.94535,298.001693725586,7500.29931640625,,,6,,,,32.311710357666,,,10,,,,,,,,,,,,,,,,,,,,,,297.977905273438,298.015899658203,7500.29931640625,7500.29931640625,,,7.35863924026489,,1,0,0,0,0.0145721435546875,30.3030319213867,1,1,1,297.997314453125,0,4232058112,297.998160226004,,,0.0101087717886118,0.000356561815006972,0.0101087867376383,0.0003565617224772,0.98276424407959,0.982865393161774,32.3046188354492,5.68371534347534,30,8,200,0.00746762612834573,-4.2079496383667,0.616303503513336,2,,,,,,,,,,,,,,,,
,3978242424.78329,298.003036499023,8333.4833984375,,,6,,,,32.311710357666,,,10,,,,,,,,,,,,,,,,,,,,,,297.979705810547,298.018249511719,8333.4833984375,8333.4833984375,,,7.36095094680786,,1,0,0,0,0.0145721435546875,29.8142719268799,1,1,1,297.998291015625,0,4232058144,297.999637276786,,,0.011234129607368,0.00039626067265757,0.0112341350531325,0.000396260628358228,0.982092976570129,0.982126295566559,32.3075561523438,0,30,8,200,0.00158683839254081,-4.67775201797485,0.683951616287231,2,,,,,,,,,,,,,,,,
